generic_name,month,n_reports,roll_mean,roll_std,zscore,is_anomaly
exenatide,2014-04-01,100,20.666666666666668,30.664855018951798,2.5871093564376206,True
exenatide,2014-05-01,2088,40.5,46.907710808920676,43.64954001572416,True
exenatide,2014-06-01,75,450.0,916.5705101081968,-0.4091338264371314,False
exenatide,2014-07-01,72,387.5,833.9776375898816,-0.3783075058364465,False
exenatide,2014-08-01,100,398.6666666666667,828.2607479934485,-0.3605949785622693,False
exenatide,2014-09-01,166,415.1666666666667,819.6961428887333,-0.3039744286078566,False
exenatide,2014-10-01,76,433.5,811.2429352542923,-0.4406818037656476,False
exenatide,2014-11-01,101,429.5,813.2728324492341,-0.403923489010074,False
exenatide,2014-12-01,1029,98.33333333333333,35.56777567780461,26.16600698051049,True
exenatide,2015-01-01,879,257.3333333333333,379.53532993209814,1.637967845517538,False
exenatide,2015-02-01,376,391.8333333333333,439.047795423991,-0.0360628922371492,False
exenatide,2015-03-01,455,437.8333333333333,416.2217758198946,0.04124403782779246,False
exenatide,2015-04-01,388,486.0,394.63502125381615,-0.24833072262223188,False
exenatide,2015-05-01,355,538.0,347.5525859492343,-0.5265390257425105,False
exenatide,2015-06-01,334,580.3333333333334,295.2054651707291,-0.8344470627969878,False
exenatide,2015-07-01,370,464.5,207.17408139050573,-0.4561381393161601,False
exenatide,2015-08-01,378,379.6666666666667,41.34085952984727,-0.04031523982861038,False
exenatide,2015-09-01,666,380.0,41.31343607108827,6.922687319153947,True
exenatide,2015-10-01,357,415.1666666666667,124.32604983134695,-0.46785582543298043,False
exenatide,2015-11-01,93,410.0,126.30914456206209,-2.5097153582909577,True
exenatide,2015-12-01,99,366.3333333333333,182.09521318987646,-1.4680964351027523,False
exenatide,2016-01-01,91,327.1666666666667,213.07784180122192,-1.1083586386564968,False
exenatide,2016-02-01,122,280.6666666666667,231.50694733995903,-0.6853646013208874,False
exenatide,2016-03-01,102,238.0,233.561983207884,-0.5822865439490293,False
exenatide,2016-04-01,72,144.0,104.93045315826987,-0.6861687701986777,False
exenatide,2016-05-01,104,96.5,16.30644044541483,0.4599409678099863,False
exenatide,2016-06-01,102,98.33333333333333,16.451950238999856,0.22287124708016226,False
exenatide,2016-07-01,24,98.83333333333333,16.521702898506785,-4.529395897810067,True
liraglutide,2012-11-01,1,,,,False
liraglutide,2013-02-01,36,,,,False
liraglutide,2013-09-01,9,,,,False
liraglutide,2014-03-01,72,15.333333333333334,18.33939293797189,3.089887809172668,True
liraglutide,2014-04-01,147,29.5,32.04684071792413,3.666508066558993,True
