lead_sponsor,n_trials,share_pct
AgelessRx,2,0.10240655401945725
Peking University Third Hospital,2,0.10240655401945725
Zealand University Hospital,2,0.10240655401945725
Zuyderland Medisch Centrum,2,0.10240655401945725
GRADE Study Group,1,0.051203277009728626
"GT Metabolic Solutions, Inc.",1,0.051203277009728626
General and Teaching Hospital Celje,1,0.051203277009728626
"Genexine, Inc.",1,0.051203277009728626
Georgetown University,1,0.051203277009728626
Georgios Papadakis,1,0.051203277009728626
German Diabetes Center,1,0.051203277009728626
Geropharm,1,0.051203277009728626
"Glostrup University Hospital, Copenhagen",1,0.051203277009728626
Grace Kim,1,0.051203277009728626
"Guangdong Raynovent Biotech Co., Ltd",1,0.051203277009728626
Göteborg University,1,0.051203277009728626
"Halia Therapeutics, Inc.",1,0.051203277009728626
Hamilton Health Sciences Corporation,1,0.051203277009728626
"Haugaard, Steen Bendix, M.D., DMSc",1,0.051203277009728626
Haukeland University Hospital,1,0.051203277009728626
Helsinki University Central Hospital,1,0.051203277009728626
Hillel Yaffe Medical Center,1,0.051203277009728626
Hospital Universitari de Bellvitge,1,0.051203277009728626
Hospital Universitario Dr. Jose E. Gonzalez,1,0.051203277009728626
Hospital Universitario San Ignacio,1,0.051203277009728626
Hospital de Clinicas de Porto Alegre,1,0.051203277009728626
Huazhong University of Science and Technology,1,0.051203277009728626
I.R.C.C.S Ospedale Galeazzi-Sant'Ambrogio,1,0.051203277009728626
INQUIS Clinical Research,1,0.051203277009728626
Iain Bressendorff,1,0.051203277009728626
Ikaria Bioscience Pty Ltd,1,0.051203277009728626
Ildiko Lingvay,1,0.051203277009728626
Ingrid Jazet,1,0.051203277009728626
"Insel Gruppe AG, University Hospital Bern",1,0.051203277009728626
"Institut universitaire de cardiologie et de pneumologie de Québec, University Laval",1,0.051203277009728626
"Institute of Liver and Biliary Sciences, India",1,0.051203277009728626
Invex Therapeutics Ltd.,1,0.051203277009728626
Istanbul Galata University,1,0.051203277009728626
James J. Peters Veterans Affairs Medical Center,1,0.051203277009728626
Jan Frystyk,1,0.051203277009728626
Jennifer Sherr,1,0.051203277009728626
"Jens D Hove, MD,PHD",1,0.051203277009728626
Jens Faber,1,0.051203277009728626
Jesper Kjaergaard,1,0.051203277009728626
"Jinling Hospital, China",1,0.051203277009728626
Jody Dushay,1,0.051203277009728626
John Bauer,1,0.051203277009728626
Jose Seijas Amigo,1,0.051203277009728626
Joslin Diabetes Center,1,0.051203277009728626
Kailera,1,0.051203277009728626
Kaiser Permanente,1,0.051203277009728626
Karl Neff,1,0.051203277009728626
Kate Farms Inc,1,0.051203277009728626
Kelly Allison,1,0.051203277009728626
Khoo Teck Puat Hospital,1,0.051203277009728626
Kirby Institute,1,0.051203277009728626
Kirsi Pietiläinen,1,0.051203277009728626
Klaus Gottlob Müller,1,0.051203277009728626
Kristin Clemens,1,0.051203277009728626
Kyunghee University Medical Center,1,0.051203277009728626
LABORATORIOS INDUFAR,1,0.051203277009728626
LI YAN,1,0.051203277009728626
Laniado Hospital,1,0.051203277009728626
"Lecube, Albert, M.D.",1,0.051203277009728626
Lexaria Bioscience Corp.,1,0.051203277009728626
Lia Bally,1,0.051203277009728626
Lindner Center of HOPE,1,0.051203277009728626
Louisiana State University Health Sciences Center in New Orleans,1,0.051203277009728626
Lund University,1,0.051203277009728626
Lundquist Institute for Biomedical Innovation at Harbor-UCLA Medical Center,1,0.051203277009728626
M.D. Anderson Cancer Center,1,0.051203277009728626
Maastricht University Medical Center,1,0.051203277009728626
"Maisa N. Feghali, MD",1,0.051203277009728626
Mannkind Corporation,1,0.051203277009728626
Mansa,1,0.051203277009728626
Mansoura University,1,0.051203277009728626
Marlene Starr,1,0.051203277009728626
Marmara University,1,0.051203277009728626
MaryAnn Banerji,1,0.051203277009728626
Marzieh Salehi,1,0.051203277009728626
Matthew J. Budoff,1,0.051203277009728626
McMaster University,1,0.051203277009728626
MedImmune LLC,1,0.051203277009728626
Medical University of Bialystok,1,0.051203277009728626
Medical University of South Carolina,1,0.051203277009728626
Medical University of Warsaw,1,0.051203277009728626
Melissa-Rosina Pasqua,1,0.051203277009728626
Memorial Sloan Kettering Cancer Center,1,0.051203277009728626
Metabolic Center of Louisiana Research Foundation,1,0.051203277009728626
Methodist Health System,1,0.051203277009728626
Michael A. Nauck,1,0.051203277009728626
"Michael Camilleri, MD",1,0.051203277009728626
Michael Mæng,1,0.051203277009728626
Mikkel Christensen,1,0.051203277009728626
"Ministry of Health, Saudi Arabia",1,0.051203277009728626
Moahad S Dar,1,0.051203277009728626
Montefiore Medical Center,1,0.051203277009728626
Morten Frost,1,0.051203277009728626
Moscow Regional Research and Clinical Institute (MONIKI),1,0.051203277009728626
Mostafa Bahaa,1,0.051203277009728626
"9 Meters Biopharma, Inc.",1,0.051203277009728626
Mountain Diabetes and Endocrine Center,1,0.051203277009728626
Myopharm Limited,1,0.051203277009728626
Mỹ Đức Hospital,1,0.051203277009728626
NHS Greater Glasgow and Clyde,1,0.051203277009728626
NYU Langone Health,1,0.051203277009728626
Nanexa AB,1,0.051203277009728626
"Nanfang Hospital, Southern Medical University",1,0.051203277009728626
Aarhus University Hospital,1,0.051203277009728626
Nantes University Hospital,1,0.051203277009728626
National Cancer Institute (NCI),1,0.051203277009728626
National Institute of Allergy and Infectious Diseases (NIAID),1,0.051203277009728626
"National Institute of Cardiology, Warsaw, Poland",1,0.051203277009728626
Actimed Therapeutics Ltd,1,0.051203277009728626
National Institute on Aging (NIA),1,0.051203277009728626
National Institute on Alcohol Abuse and Alcoholism (NIAAA),1,0.051203277009728626
Advanced Specialty Care,1,0.051203277009728626
National Taiwan University Hospital,1,0.051203277009728626
Affiliated Hospital of Nantong University,1,0.051203277009728626
Aga Khan University,1,0.051203277009728626
Albany College of Pharmacy and Health Sciences,1,0.051203277009728626
Nemours Children's Clinic,1,0.051203277009728626
Alexandria University,1,0.051203277009728626
"Neurogastrx, Inc.",1,0.051203277009728626
Neuroscience Trials Australia,1,0.051203277009728626
Nicholas Skertich,1,0.051203277009728626
Nicolai Jacob Wewer Albrechtsen,1,0.051203277009728626
Nils Opel,1,0.051203277009728626
Nils Vlaeminck,1,0.051203277009728626
NodThera Limited,1,0.051203277009728626
Alimetry,1,0.051203277009728626
Northwestern University,1,0.051203277009728626
Alnylam Pharmaceuticals,1,0.051203277009728626
American University of Beirut Medical Center,1,0.051203277009728626
"OPKO Health, Inc.",1,0.051203277009728626
Odense University Hospital,1,0.051203277009728626
Oelisoa Andriankaja,1,0.051203277009728626
Annesofie Faurschou,1,0.051203277009728626
Oklahoma State University Center for Health Sciences,1,0.051203277009728626
Oregon Health and Science University,1,0.051203277009728626
"OrsoBio, Inc",1,0.051203277009728626
Oslo University Hospital,1,0.051203277009728626
Ospedale San Raffaele,1,0.051203277009728626
Ottawa Heart Institute Research Corporation,1,0.051203277009728626
"Palatin Technologies, Inc",1,0.051203277009728626
Apnimed,1,0.051203277009728626
"Aqua Medical, Inc.",1,0.051203277009728626
Ariel University,1,0.051203277009728626
Peking University First Hospital,1,0.051203277009728626
Peking University People's Hospital,1,0.051203277009728626
"Ascletis Pharma (China) Co., Limited",1,0.051203277009728626
"Asger Lund, MD",1,0.051203277009728626
Asian Institute Of Medical Sciences,1,0.051203277009728626
Per Løgstrup Poulsen,1,0.051203277009728626
Per-Ola Carlsson,1,0.051203277009728626
"Asian Institute of Gastroenterology, India",1,0.051203277009728626
Assistance Publique Hopitaux De Marseille,1,0.051203277009728626
PhaseBio Pharmaceuticals Inc.,1,0.051203277009728626
Axel Brandes,1,0.051203277009728626
Pontificia Universidad Catolica de Chile,1,0.051203277009728626
Popular Medical College Hospital,1,0.051203277009728626
Azienda Ospedaliero-Universitaria Consorziale Policlinico di Bari,1,0.051203277009728626
Azienda Sanitaria Locale Napoli 2 Nord,1,0.051203277009728626
"ProGen. Co., Ltd.",1,0.051203277009728626
Prof. Dr. Martin Wabitsch,1,0.051203277009728626
"Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh",1,0.051203277009728626
"Bangladesh Institute of Research and Rehabilitation in Diabetes, Endocrine and Metabolic Disorders",1,0.051203277009728626
Beijing Tsinghua Chang Gung Hospital,1,0.051203277009728626
QuickSilver Scientific,1,0.051203277009728626
RISE Study Group,1,0.051203277009728626
RWTH Aachen University,1,0.051203277009728626
Rabin Medical Center,1,0.051203277009728626
Bekes County Central Hospital,1,0.051203277009728626
Rebecca Ashare,1,0.051203277009728626
Beni-Suef University,1,0.051203277009728626
Region Skane,1,0.051203277009728626
Benjamin T. Miller,1,0.051203277009728626
Response Pharmaceuticals,1,0.051203277009728626
Rigmor Højland Jensen,1,0.051203277009728626
Bing He,1,0.051203277009728626
"BioAge Labs, Inc.",1,0.051203277009728626
Rodolfo Alejandro,1,0.051203277009728626
Royal Adelaide Hospital,1,0.051203277009728626
Royal Devon and Exeter NHS Foundation Trust,1,0.051203277009728626
Royal North Shore Hospital,1,0.051203277009728626
Ruhr University of Bochum,1,0.051203277009728626
Rune Skovgaard Rasmussen,1,0.051203277009728626
Biolingus,1,0.051203277009728626
Biomea Fusion Inc.,1,0.051203277009728626
Sabyasachi Sen,1,0.051203277009728626
Saint Luke's Health System,1,0.051203277009728626
San Francisco Department of Public Health,1,0.051203277009728626
San Francisco Veterans Affairs Medical Center,1,0.051203277009728626
San Raffaele Telematic University,1,0.051203277009728626
Sana Klinikum Offenbach,1,0.051203277009728626
Sandwell & West Birmingham Hospitals NHS Trust,1,0.051203277009728626
"Biomed Industries, Inc.",1,0.051203277009728626
Sansum Diabetes Research Institute,1,0.051203277009728626
"Scholar Rock, Inc.",1,0.051203277009728626
Sciema UG,1,0.051203277009728626
Sciwind Biosciences APAC CO Pty. Ltd.,1,0.051203277009728626
Scripps Translational Science Institute,1,0.051203277009728626
Biophytis,1,0.051203277009728626
Second Affiliated Hospital of Guangzhou Medical University,1,0.051203277009728626
Second Affiliated Hospital of Nanchang University,1,0.051203277009728626
Bjorn H. Ebdrup,1,0.051203277009728626
"Bostal Drug Delivery Co., Ltd",1,0.051203277009728626
Seoul National University Bundang Hospital,1,0.051203277009728626
Boston Medical Center,1,0.051203277009728626
Bristol-Myers Squibb,1,0.051203277009728626
"Shandong New Time Pharmaceutical Co., LTD",1,0.051203277009728626
CHU de Quebec-Universite Laval,1,0.051203277009728626
Shanghai East Hospital,1,0.051203277009728626
Shanghai Fengxian District Central Hospital,1,0.051203277009728626
Shanghai Jiao Tong University School of Medicine,1,0.051203277009728626
Shanghai Punan Hospital of Pudong New District,1,0.051203277009728626
"Shanghai World Leader Pharmaceutical Co., Ltd.",1,0.051203277009728626
Camillo Ricordi and Jay Skyler,1,0.051203277009728626
Sheba Medical Center,1,0.051203277009728626
"Shenzhen Institutes of Advanced Technology ,Chinese Academy of Sciences",1,0.051203277009728626
Shi Yang,1,0.051203277009728626
Sichuan Provincial People's Hospital,1,0.051203277009728626
Canadian Medical and Surgical Knowledge Translation Research Group,1,0.051203277009728626
"Skye Bioscience, Inc.",1,0.051203277009728626
South West Sydney Local Health District,1,0.051203277009728626
Srinvasan Beddhu,1,0.051203277009728626
St Andrew's Healthcare,1,0.051203277009728626
"St Vincent's University Hospital, Ireland",1,0.051203277009728626
"St. James's Hospital, Ireland",1,0.051203277009728626
St. Jude Children's Research Hospital,1,0.051203277009728626
St. Paul Heart Clinic,1,0.051203277009728626
Capital Medical University,1,0.051203277009728626
Cardenal Herrera University,1,0.051203277009728626
Stefano Rizza,1,0.051203277009728626
"Carla Greenbaum, MD",1,0.051203277009728626
Sun Pharmaceutical Industries Limited,1,0.051203277009728626
"Carmot Therapeutics, Inc.",1,0.051203277009728626
"Cascade Pharmaceuticals, Inc",1,0.051203277009728626
Swansea Bay University Health Board,1,0.051203277009728626
"Sword Health, SA",1,0.051203277009728626
"T. John Winhusen, PhD",1,0.051203277009728626
Case Western Reserve University,1,0.051203277009728626
"Talengen Institute of Life Sciences, Shenzhen, P.R. China.",1,0.051203277009728626
Tel Aviv University,1,0.051203277009728626
Tel-Aviv Sourasky Medical Center,1,0.051203277009728626
Catholic University of the Sacred Heart,1,0.051203277009728626
CellTrans Inc.,1,0.051203277009728626
The Affiliated Hospital of Qingdao University,1,0.051203277009728626
"Center for Neurology, Stockholm",1,0.051203277009728626
Center of target therapy,1,0.051203277009728626
"Central Hospital, Nancy, France",1,0.051203277009728626
The First Affiliated Hospital of Henan University of Science and Technology,1,0.051203277009728626
Centre for Addiction and Mental Health,1,0.051203277009728626
The First Affiliated Hospital with Nanjing Medical University,1,0.051203277009728626
The First Hospital of Jilin University,1,0.051203277009728626
The Fourth Affiliated Hospital of Zhejiang University School of Medicine,1,0.051203277009728626
The Society of Bariatric and Metabolic Surgeons of Kazakhstan,1,0.051203277009728626
"The United Bio-Technology (Hengqin) Co., Ltd.",1,0.051203277009728626
Centre hospitalier de l'Université de Montréal (CHUM),1,0.051203277009728626
Chang Gung Memorial Hospital,1,0.051203277009728626
Changi General Hospital,1,0.051203277009728626
"The University of Texas Medical Branch, Galveston",1,0.051203277009728626
The University of Texas at Dallas,1,0.051203277009728626
Theracos,1,0.051203277009728626
Third Affiliated Hospital of Third Military Medical University,1,0.051203277009728626
"Chengdu Brilliant Pharmaceutical Co., Ltd.",1,0.051203277009728626
Thomas Jefferson University,1,0.051203277009728626
Thomas Nystrom,1,0.051203277009728626
Tianjin Medical University,1,0.051203277009728626
Children's Hospitals and Clinics of Minnesota,1,0.051203277009728626
Tina Vilsbøll,1,0.051203277009728626
"Chinese Academy of Medical Sciences, Fuwai Hospital",1,0.051203277009728626
Tulane University School of Medicine,1,0.051203277009728626
Turku University Hospital,1,0.051203277009728626
Chittagong Medical College,1,0.051203277009728626
